EXP;SimulationFolder;Scenario;ProbeID;Timestamp;Free Flow Speed [m/sec];Jam Density;Opt Density;N Generations;N Repeat;N Population;N MatingParents;k Selection;Mutation Probabilities;RMSE (NonMaked);MAE (NonMaked);RMSE (Masked);MAE (Masked);CTM RMSE (Masked);CTM MAE (Masked);GAFitness;CTMFitness
55;Scenario-3_test7_525-554;Scenario-3;test7;525-554;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.014786425352263172;0.007912877245778029;0.0020068892641608924;0.0006999035606073889;0.005546108392310155;0.0011098144094318274;-0.003542294866411064;-0.011648163514424747
56;Scenario-3_test8_625-638;Scenario-3;test8;625-638;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03793124019291558;0.029705182874140368;0.018718247735137427;0.007936157207524077;0.008147126740101573;0.0036162946988092175;-0.011588422971082202;-0.0175071199469066
57;Scenario-3_test9_685-699;Scenario-3;test9;685-699;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.015678849986933387;0.013324700499725733;0.009802574513763703;0.005759597194962278;0.009747463640476673;0.004708059697732768;-0.011931560601878732;-0.016002156505428966
58;Scenario-4_test0_21-36;Scenario-4;test0;21-36;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03371947014251635;0.025546368356429844;0.018195317572458354;0.007713320997846482;0.007276646379804198;0.0037732766151565896;-0.003906871947569664;-0.012580581923966888
59;Scenario-4_test10_833-866;Scenario-4;test10;833-866;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03244125168721543;0.016898413061030907;0.004424988604350142;0.0015771373245014278;0.005037795373005727;0.0016884602534351317;-0.005840469963140616;-0.00696369991269751
60;Scenario-4_test11_928-960;Scenario-4;test11;928-960;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.04889718987863181;0.03640978786944986;0.0058278259275836635;0.001732110573723043;0.003213636148033607;0.0009939195397753939;-0.005184979284228237;-0.0070627289157336615
61;Scenario-4_test12_991-1024;Scenario-4;test12;991-1024;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.06574477106697826;0.054963243429919484;0.0066585679122947656;0.001758309292850967;0.004507065512005744;0.0009010042662770392;-0.010542445146028319;-0.016045509895644138
62;Scenario-4_test13_1051-1080;Scenario-4;test13;1051-1080;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.043628999871442434;0.03382938526692929;0.00653482033729111;0.0018314607422462977;0.004695436103652882;0.0013124610864104244;-0.008109103621206275;-0.013621081062211954
63;Scenario-4_test14_1121-1150;Scenario-4;test14;1121-1150;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.048568251086263815;0.038421948587650294;0.001783840138410495;0.000489309853500322;0.0018582636792787526;0.00037066931627627504;-0.005390980907722571;-0.006264755588742893
64;Scenario-4_test1_88-120;Scenario-4;test1;88-120;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.05087082670392671;0.04053882015999046;0.006898898911137471;0.002261193541820156;0.0050603704787736455;0.001398977384698857;-0.010561194170373173;-0.01315497802734832
65;Scenario-4_test2_163-194;Scenario-4;test2;163-194;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.025916423479972566;0.01416781609426228;0.0019751141072943184;0.0005649451690538906;0.005593287423536778;0.0012222740733294892;-0.004235789518949449;-0.012657727291258506
66;Scenario-4_test3_266-278;Scenario-4;test3;266-278;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.018849148511476246;0.015355534046092434;0.01053567238518294;0.0057677712006885574;0.011239055849078652;0.004948133122438442;-0.015198720482202038;-0.017799622505546966
67;Scenario-4_test4_335-364;Scenario-4;test4;335-364;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.06386272883033751;0.05541552401291125;0.006533320097775947;0.0015865061944236912;0.005058007621097808;0.001325362744755492;-0.0071915390786679335;-0.013074435130390343
68;Scenario-4_test5_455-487;Scenario-4;test5;455-487;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.05256727253520505;0.04076139782391215;0.0027445368346483757;0.0007869998794562804;0.002047565504522584;0.0004433601443006184;-0.007300863977895203;-0.00745331755818537
69;Scenario-4_test6_522-552;Scenario-4;test6;522-552;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.026179064646323778;0.015611770325666498;0.0027756004663543913;0.0008814742757039373;0.00667418730062232;0.0014612434481284249;-0.005981667700660697;-0.01638070866399216
70;Scenario-4_test7_581-610;Scenario-4;test7;581-610;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.04124967060357408;0.03220804178831004;0.0015818529097693784;0.0004017728109213572;0.0011544387726959932;0.00023728370649504806;-0.005034049136238148;-0.005179820609005737
71;Scenario-4_test8_686-698;Scenario-4;test8;686-698;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.020980660579764446;0.016803806176138077;0.007982198643645683;0.004629684479873037;0.008421509680249984;0.004023802336000737;-0.009042239347271051;-0.012264459061165805
72;Scenario-4_test9_775-800;Scenario-4;test9;775-800;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.035207073581324085;0.018531765228645334;0.002863408285098789;0.0011604074693495462;0.007805534911608491;0.002719133228675473;-0.005040541265624647;-0.01351683004201786
