,SCNFolder,space,time,x-1,x,x+1,t+1
151,Scenario-7_test15_906-915,"(40.0, 60.0]","(906.0, 908.0]",0.04411699827943707,0.0625,0.051029086579350236,0.03354508669308342
152,Scenario-7_test15_906-915,"(20.0, 40.0]","(908.0, 910.0]",0.036059588469946585,0.0625,0.03354508669308342,0.04145163630334307
153,Scenario-7_test16_966-976,"(40.0, 60.0]","(966.0, 968.0]",0.031075201988812938,0.025,0.03814609956131985,0.030041306796845663
154,Scenario-7_test19_1145-1154,"(40.0, 60.0]","(1145.0, 1147.0]",0.0,0.0,0.025864856126737792,0.0
155,Scenario-7_test19_1145-1154,"(20.0, 40.0]","(1147.0, 1149.0]",0.026765998260210117,0.0,0.0,0.024865312888520518
156,Scenario-7_test2_129-138,"(40.0, 60.0]","(129.0, 131.0]",0.0,0.025,0.026831831496098205,0.0
157,Scenario-7_test2_129-138,"(20.0, 40.0]","(131.0, 133.0]",0.04418717688126905,0.025,0.0,0.025298309229666482
158,Scenario-7_test3_185-194,"(40.0, 60.0]","(185.0, 187.0]",0.0,0.0,0.0,0.0
159,Scenario-7_test3_185-194,"(20.0, 40.0]","(187.0, 189.0]",0.0,0.0,0.0,0.0
160,Scenario-7_test5_305-314,"(40.0, 60.0]","(305.0, 307.0]",0.0,0.0,0.0,0.0
161,Scenario-7_test5_305-314,"(20.0, 40.0]","(307.0, 309.0]",0.027973332090074132,0.03125,0.0,0.023771790808240885
162,Scenario-7_test6_365-374,"(40.0, 60.0]","(365.0, 367.0]",0.036661931167224236,0.0,0.0,0.032838700408431336
163,Scenario-7_test6_365-374,"(20.0, 40.0]","(367.0, 369.0]",0.03692591737825987,0.0625,0.032838700408431336,0.040535062829347386
164,Scenario-7_test7_427-436,"(40.0, 60.0]","(427.0, 429.0]",0.031374394572229736,0.025,0.02942041776993233,0.037956966289469304
165,Scenario-7_test7_427-436,"(20.0, 40.0]","(429.0, 431.0]",0.0,0.0,0.037956966289469304,0.0
166,Scenario-8_test0_21-37,"(40.0, 60.0]","(25.0, 27.0]",0.0681224690610453,0.0625,0.12155781008929825,0.09593399740978206
167,Scenario-8_test10_819-850,"(40.0, 60.0]","(819.0, 821.0]",0.13172338090010977,0.15,0.13296490972929173,0.15
168,Scenario-8_test10_819-850,"(20.0, 40.0]","(821.0, 823.0]",0.12876386687797145,0.15,0.15,0.15
169,Scenario-8_test11_894-927,"(40.0, 60.0]","(894.0, 896.0]",0.060978708267696524,0.0625,0.05280030171600981,0.05
170,Scenario-8_test11_894-927,"(20.0, 40.0]","(916.0, 918.0]",0.08652764558276366,0.1125,0.1205497066623805,0.1125
171,Scenario-8_test12_955-988,"(40.0, 60.0]","(957.0, 959.0]",0.06560005831116297,0.05625,0.05836292009143521,0.0625
172,Scenario-8_test13_1019-1051,"(40.0, 60.0]","(1021.0, 1023.0]",0.04926351051775951,0.06875,0.057759647666149216,0.05625
173,Scenario-8_test13_1019-1051,"(40.0, 60.0]","(1023.0, 1025.0]",0.01889644746787604,0.05625,0.06708407871198567,0.0625
174,Scenario-8_test13_1019-1051,"(40.0, 60.0]","(1025.0, 1027.0]",0.04645760743321719,0.0625,0.08309726156751653,0.06875
175,Scenario-8_test13_1019-1051,"(40.0, 60.0]","(1027.0, 1029.0]",0.04636498516320473,0.06875,0.12106537530266347,0.1
176,Scenario-8_test13_1019-1051,"(40.0, 60.0]","(1029.0, 1031.0]",0.07413928918956492,0.1,0.1211249479541239,0.15
177,Scenario-8_test13_1019-1051,"(40.0, 60.0]","(1031.0, 1033.0]",0.07411181620269583,0.15,0.12116163719662261,0.15
178,Scenario-8_test13_1019-1051,"(40.0, 60.0]","(1033.0, 1035.0]",0.13648771610555055,0.15,0.12298232129131435,0.15
179,Scenario-8_test13_1019-1051,"(40.0, 60.0]","(1035.0, 1037.0]",0.09804322071980064,0.15,0.13604863738786618,0.15
180,Scenario-8_test13_1019-1051,"(20.0, 40.0]","(1041.0, 1043.0]",0.10327911179963853,0.15,0.15,0.15
181,Scenario-8_test15_1184-1199,"(40.0, 60.0]","(1184.0, 1186.0]",0.11146577494046714,0.1,0.0754574608564422,0.06477849354014467
182,Scenario-8_test4_355-385,"(40.0, 60.0]","(355.0, 357.0]",0.05338926494422728,0.0625,0.07004552959423627,0.06630200563567049
183,Scenario-8_test4_355-385,"(20.0, 40.0]","(359.0, 361.0]",0.01937608990505716,0.03125,0.0365550519081737,0.03125
184,Scenario-8_test4_355-385,"(20.0, 40.0]","(361.0, 363.0]",0.028887818969667793,0.03125,0.04406904149834741,0.04375
185,Scenario-8_test4_355-385,"(20.0, 40.0]","(363.0, 365.0]",0.04811393379522712,0.04375,0.029394473838918276,0.05625
186,Scenario-8_test4_355-385,"(20.0, 40.0]","(365.0, 367.0]",0.05773672055427254,0.05625,0.029394473838918276,0.05
187,Scenario-8_test4_355-385,"(20.0, 40.0]","(367.0, 369.0]",0.02886836027713627,0.05,0.05878894767783655,0.0375
188,Scenario-8_test4_355-385,"(20.0, 40.0]","(369.0, 371.0]",0.01896633475580844,0.0375,0.059457450761798585,0.03125
189,Scenario-8_test4_355-385,"(20.0, 40.0]","(371.0, 373.0]",0.06002915701912358,0.03125,0.08914822919199286,0.0625
190,Scenario-8_test6_522-552,"(40.0, 60.0]","(522.0, 524.0]",0.11410196566568122,0.15,0.10393466963622866,0.1452081316553727
191,Scenario-8_test7_589-617,"(40.0, 60.0]","(589.0, 591.0]",0.10740472993906845,0.08125,0.08009255139272048,0.08383283732237917
192,Scenario-8_test7_589-617,"(20.0, 40.0]","(591.0, 593.0]",0.13416215732748982,0.1,0.08383283732237917,0.09606455538121617
193,Scenario-8_test8_681-696,"(40.0, 60.0]","(685.0, 687.0]",0.12760367798836553,0.15,0.11363098338146871,0.15
